"track_genre","explicit","total_count"
"acoustic","t",52
"acoustic","f",948
"afrobeat","t",18
"afrobeat","f",982
"alt-rock","t",56
"alt-rock","f",944
"alternative","f",836
"alternative","t",164
"ambient","f",995
"ambient","t",5
"anime","f",945
"anime","t",55
"black-metal","f",869
"black-metal","t",131
"bluegrass","t",5
"bluegrass","f",995
"blues","t",14
"blues","f",986
"brazil","f",914
"brazil","t",86
"breakbeat","f",952
"breakbeat","t",48
"british","f",961
"british","t",39
"cantopop","t",2
"cantopop","f",998
"chicago-house","t",18
"chicago-house","f",982
"children","f",1000
"chill","t",171
"chill","f",829
"classical","f",1000
"club","t",85
"club","f",915
"comedy","f",344
"comedy","t",656
"country","f",970
"country","t",30
"dance","f",826
"dance","t",174
"dancehall","t",302
"dancehall","f",698
"death-metal","f",749
"death-metal","t",251
"deep-house","f",975
"deep-house","t",25
"detroit-techno","t",7
"detroit-techno","f",993
"disco","t",6
"disco","f",994
"disney","t",1
"disney","f",999
"drum-and-bass","t",26
"drum-and-bass","f",974
"dub","f",926
"dub","t",74
"dubstep","t",95
"dubstep","f",905
"edm","f",894
"edm","t",106
"electro","t",153
"electro","f",847
"electronic","f",880
"electronic","t",120
"emo","f",535
"emo","t",465
"folk","f",994
"folk","t",6
"forro","t",18
"forro","f",982
"french","t",219
"french","f",781
"funk","f",696
"funk","t",304
"garage","t",95
"garage","f",905
"german","t",127
"german","f",873
"gospel","f",1000
"goth","t",66
"goth","f",934
"grindcore","f",847
"grindcore","t",153
"groove","t",97
"groove","f",903
"grunge","t",72
"grunge","f",928
"guitar","f",998
"guitar","t",2
"happy","t",126
"happy","f",874
"hard-rock","f",951
"hard-rock","t",49
"hardcore","f",675
"hardcore","t",325
"hardstyle","f",904
"hardstyle","t",96
"heavy-metal","f",917
"heavy-metal","t",83
"hip-hop","f",681
"hip-hop","t",319
"honky-tonk","f",1000
"house","f",893
"house","t",107
"idm","f",986
"idm","t",14
"indian","f",976
"indian","t",24
"indie","f",916
"indie","t",84
"indie-pop","f",893
"indie-pop","t",107
"industrial","t",236
"industrial","f",764
"iranian","t",80
"iranian","f",920
"j-dance","f",609
"j-dance","t",391
"j-idol","t",1
"j-idol","f",999
"j-pop","f",988
"j-pop","t",12
"j-rock","t",17
"j-rock","f",983
"jazz","t",3
"jazz","f",997
"k-pop","t",49
"k-pop","f",951
"kids","t",8
"kids","f",992
"latin","t",133
"latin","f",867
"latino","f",751
"latino","t",249
"malay","t",36
"malay","f",964
"mandopop","t",8
"mandopop","f",992
"metal","t",142
"metal","f",858
"metalcore","f",709
"metalcore","t",291
"minimal-techno","t",4
"minimal-techno","f",996
"mpb","f",995
"mpb","t",5
"new-age","f",995
"new-age","t",5
"opera","t",1
"opera","f",999
"pagode","f",985
"pagode","t",15
"party","t",45
"party","f",955
"piano","f",988
"piano","t",12
"pop","f",926
"pop","t",74
"pop-film","t",1
"pop-film","f",999
"power-pop","f",967
"power-pop","t",33
"progressive-house","t",52
"progressive-house","f",948
"psych-rock","f",985
"psych-rock","t",15
"punk","t",106
"punk","f",894
"punk-rock","f",920
"punk-rock","t",80
"r-n-b","t",88
"r-n-b","f",912
"reggae","f",833
"reggae","t",167
"reggaeton","t",212
"reggaeton","f",788
"rock","t",43
"rock","f",957
"rock-n-roll","f",998
"rock-n-roll","t",2
"rockabilly","t",5
"rockabilly","f",995
"romance","t",4
"romance","f",996
"sad","t",450
"sad","f",550
"salsa","t",3
"salsa","f",997
"samba","f",998
"samba","t",2
"sertanejo","t",6
"sertanejo","f",994
"show-tunes","f",982
"show-tunes","t",18
"singer-songwriter","t",47
"singer-songwriter","f",953
"ska","f",976
"ska","t",24
"sleep","f",1000
"songwriter","t",47
"songwriter","f",953
"soul","f",896
"soul","t",104
"spanish","t",38
"spanish","f",962
"study","f",1000
"swedish","t",95
"swedish","f",905
"synth-pop","f",956
"synth-pop","t",44
"tango","f",1000
"techno","f",974
"techno","t",26
"trance","t",22
"trance","f",978
"trip-hop","t",45
"trip-hop","f",955
"turkish","f",782
"turkish","t",218
"world-music","f",1000
