"track_genre","avg_danceability","avg_energy","avg_valence"
"sleep",0.01,0.31,0.01
"grindcore",0.01,0.99,0.06
"black-metal",0.07,0.95,0.05
"opera",0.11,0.18,0.08
"iranian",0.13,0.53,0.04
"death-metal",0.14,0.99,0.07
"new-age",0.18,0.11,0.06
"classical",0.21,0.08,0.35
"ambient",0.22,0.13,0.03
"metalcore",0.26,0.99,0.14
"world-music",0.27,0.58,0.09
"heavy-metal",0.29,0.98,0.27
"romance",0.30,0.12,0.32
"grunge",0.36,0.94,0.29
"piano",0.37,0.31,0.18
"disney",0.42,0.22,0.29
"goth",0.42,0.87,0.39
"metal",0.42,0.97,0.35
"gospel",0.43,0.66,0.14
"show-tunes",0.45,0.30,0.31
"hard-rock",0.46,0.92,0.52
"power-pop",0.46,0.93,0.70
"garage",0.49,0.86,0.53
"jazz",0.50,0.23,0.51
"psych-rock",0.52,0.60,0.58
"punk",0.52,0.92,0.60
"punk-rock",0.52,0.93,0.62
"british",0.53,0.49,0.41
"j-rock",0.55,0.86,0.57
"dubstep",0.56,0.94,0.10
"hardcore",0.56,0.97,0.50
"anime",0.59,0.73,0.41
"tango",0.60,0.18,0.69
"drum-and-bass",0.60,0.99,0.22
"idm",0.61,0.59,0.22
"german",0.61,0.59,0.35
"alt-rock",0.63,0.91,0.54
"bluegrass",0.64,0.58,0.71
"brazil",0.64,0.74,0.43
"guitar",0.65,0.24,0.39
"acoustic",0.65,0.36,0.34
"rock-n-roll",0.65,0.51,0.76
"dub",0.65,0.88,0.30
"hardstyle",0.65,1.00,0.18
"folk",0.66,0.58,0.46
"j-pop",0.66,0.77,0.56
"groove",0.66,0.88,0.38
"alternative",0.67,0.85,0.49
"industrial",0.67,0.97,0.37
"happy",0.67,0.99,0.22
"country",0.68,0.68,0.52
"cantopop",0.69,0.37,0.25
"mandopop",0.69,0.47,0.17
"rock",0.69,0.81,0.55
"j-idol",0.69,0.97,0.65
"blues",0.71,0.64,0.66
"mpb",0.71,0.65,0.59
"rockabilly",0.71,0.73,0.82
"singer-songwriter",0.72,0.39,0.31
"songwriter",0.72,0.39,0.31
"ska",0.72,0.93,0.82
"emo",0.73,0.77,0.40
"samba",0.73,0.85,0.83
"honky-tonk",0.74,0.18,0.69
"indie",0.75,0.60,0.42
"soul",0.76,0.54,0.51
"pop-film",0.76,0.68,0.55
"club",0.76,0.85,0.30
"sertanejo",0.76,0.89,0.73
"trance",0.76,0.99,0.15
"indian",0.77,0.59,0.40
"swedish",0.77,0.71,0.53
"indie-pop",0.78,0.62,0.40
"turkish",0.78,0.73,0.42
"comedy",0.78,0.84,0.41
"pagode",0.78,0.94,0.84
"spanish",0.79,0.87,0.59
"r-n-b",0.80,0.73,0.69
"malay",0.82,0.64,0.48
"french",0.83,0.72,0.39
"pop",0.83,0.73,0.50
"trip-hop",0.84,0.75,0.47
"k-pop",0.86,0.82,0.62
"synth-pop",0.86,0.88,0.62
"funk",0.87,0.78,0.68
"electro",0.87,0.83,0.41
"electronic",0.87,0.84,0.32
"chill",0.88,0.31,0.33
"forro",0.89,0.98,0.91
"progressive-house",0.89,0.99,0.28
"afrobeat",0.90,0.86,0.82
"breakbeat",0.90,0.99,0.46
"children",0.91,0.45,0.78
"disco",0.91,0.87,0.75
"salsa",0.91,0.91,0.96
"sad",0.92,0.42,0.36
"j-dance",0.92,0.91,0.61
"edm",0.92,0.97,0.44
"techno",0.93,0.90,0.23
"party",0.94,0.99,0.81
"study",0.95,0.28,0.33
"hip-hop",0.95,0.88,0.59
"latin",0.95,0.95,0.76
"house",0.95,0.98,0.48
"detroit-techno",0.96,0.85,0.44
"dance",0.96,0.93,0.60
"dancehall",0.97,0.90,0.75
"kids",0.98,0.71,0.78
"minimal-techno",0.98,0.83,0.17
"deep-house",0.98,0.94,0.42
"reggae",0.98,0.96,0.79
"latino",0.99,0.98,0.77
"chicago-house",1.00,0.90,0.66
"reggaeton",1.00,0.99,0.78
