"track_name","artists","duration"
"The Exorsism Begins...","Leila Bela",0.14
"V-4","Leila Bela",0.22
"Screams for a Finale! (feat. Leila's Opera Class)","Leila Bela;Leila's Opera Class",0.26
"Andante in C Major, K. 1a","Wolfgang Amadeus Mozart;Ingrid Haebler",0.29
"Carnaval, Op. 9: No. 20, Pause (Live in Japan, 2022)","Robert Schumann;Pavel Nersessian",0.30
"Carnaval, Op. 9: No. 20, Pause (Live in Japan, 2022)","Robert Schumann;Pavel Nersessian",0.30
"V-7","Leila Bela",0.35
"Shatter","Leila Bela",0.35
"Cello Suite No. 3, Op. 87: IX. Passacaglia (Excerpt: Autumn. Vivace)","Benjamin Britten;Steven Isserlis",0.37
"Carnaval, Op. 9: No. 13, Estrella (Live in Japan, 2022)","Robert Schumann;Pavel Nersessian",0.39
