"track_genre","avg_popularity","global_avg","difference_from_global","performance"
"iranian",2.21,33.24,-31.03,"below average"
"romance",3.25,33.24,-29.99,"below average"
"latin",8.30,33.24,-24.94,"below average"
"detroit-techno",11.17,33.24,-22.07,"below average"
"chicago-house",12.34,33.24,-20.90,"below average"
"classical",13.06,33.24,-20.18,"below average"
"jazz",13.63,33.24,-19.61,"below average"
"grindcore",14.63,33.24,-18.61,"below average"
"kids",14.89,33.24,-18.35,"below average"
"idm",15.77,33.24,-17.47,"below average"
"honky-tonk",16.36,33.24,-16.88,"below average"
"country",17.03,33.24,-16.21,"below average"
"rock",19.00,33.24,-14.24,"below average"
"soul",19.80,33.24,-13.44,"below average"
"tango",19.87,33.24,-13.37,"below average"
"breakbeat",20.12,33.24,-13.12,"below average"
"reggae",20.63,33.24,-12.61,"below average"
"party",20.98,33.24,-12.26,"below average"
"happy",21.72,33.24,-11.52,"below average"
"black-metal",22.45,33.24,-10.79,"below average"
"dance",22.69,33.24,-10.55,"below average"
"reggaeton",23.86,33.24,-9.38,"below average"
"alternative",24.34,33.24,-8.90,"below average"
"afrobeat",24.40,33.24,-8.84,"below average"
"opera",24.62,33.24,-8.62,"below average"
"comedy",24.63,33.24,-8.61,"below average"
"j-idol",24.71,33.24,-8.53,"below average"
"latino",25.66,33.24,-7.58,"below average"
"bluegrass",25.68,33.24,-7.56,"below average"
"study",26.11,33.24,-7.13,"below average"
"heavy-metal",26.23,33.24,-7.01,"below average"
"hardstyle",26.62,33.24,-6.62,"below average"
"j-dance",26.66,33.24,-6.58,"below average"
"drum-and-bass",26.66,33.24,-6.58,"below average"
"german",26.75,33.24,-6.49,"below average"
"power-pop",26.90,33.24,-6.34,"below average"
"disney",27.54,33.24,-5.70,"below average"
"salsa",28.07,33.24,-5.17,"below average"
"goth",28.91,33.24,-4.33,"below average"
"new-age",29.07,33.24,-4.17,"below average"
"guitar",29.53,33.24,-3.71,"below average"
"malay",30.36,33.24,-2.88,"below average"
"industrial",31.04,33.24,-2.20,"below average"
"blues",31.19,33.24,-2.05,"below average"
"show-tunes",31.25,33.24,-1.99,"below average"
"rockabilly",31.50,33.24,-1.74,"below average"
"death-metal",32.17,33.24,-1.07,"below average"
"funk",32.32,33.24,-0.92,"below average"
"club",33.34,33.24,0.10,"above average"
"dancehall",33.47,33.24,0.23,"above average"
"disco",33.52,33.24,0.28,"above average"
"alt-rock",33.94,33.24,0.70,"above average"
"minimal-techno",34.02,33.24,0.78,"above average"
"house",34.16,33.24,0.92,"above average"
"rock-n-roll",34.43,33.24,1.19,"above average"
"trip-hop",34.46,33.24,1.22,"above average"
"cantopop",34.74,33.24,1.50,"above average"
"edm",35.03,33.24,1.79,"above average"
"children",35.05,33.24,1.81,"above average"
"sleep",35.07,33.24,1.83,"above average"
"ska",35.13,33.24,1.89,"above average"
"electro",36.08,33.24,2.84,"above average"
"hardcore",36.11,33.24,2.87,"above average"
"synth-pop",36.58,33.24,3.34,"above average"
"r-n-b",36.69,33.24,3.45,"above average"
"swedish",37.18,33.24,3.94,"above average"
"trance",37.64,33.24,4.40,"above average"
"hip-hop",37.76,33.24,4.52,"above average"
"singer-songwriter",37.81,33.24,4.57,"above average"
"songwriter",37.81,33.24,4.57,"above average"
"groove",37.83,33.24,4.59,"above average"
"spanish",37.92,33.24,4.68,"above average"
"folk",38.01,33.24,4.77,"above average"
"punk-rock",38.24,33.24,5.00,"above average"
"punk",38.29,33.24,5.05,"above average"
"samba",38.83,33.24,5.59,"above average"
"indie",38.90,33.24,5.66,"above average"
"techno",39.04,33.24,5.80,"above average"
"dub",40.04,33.24,6.80,"above average"
"indie-pop",40.66,33.24,7.42,"above average"
"j-rock",40.66,33.24,7.42,"above average"
"turkish",40.70,33.24,7.46,"above average"
"mpb",40.79,33.24,7.55,"above average"
"garage",40.93,33.24,7.69,"above average"
"french",41.07,33.24,7.83,"above average"
"j-pop",41.14,33.24,7.90,"above average"
"gospel",41.64,33.24,8.40,"above average"
"forro",41.83,33.24,8.59,"above average"
"world-music",41.87,33.24,8.63,"above average"
"dubstep",42.32,33.24,9.08,"above average"
"acoustic",42.48,33.24,9.24,"above average"
"hard-rock",42.78,33.24,9.54,"above average"
"psych-rock",42.78,33.24,9.54,"above average"
"metalcore",43.48,33.24,10.24,"above average"
"metal",43.71,33.24,10.47,"above average"
"british",43.80,33.24,10.56,"above average"
"ambient",44.19,33.24,10.95,"above average"
"pagode",44.30,33.24,11.06,"above average"
"electronic",44.33,33.24,11.09,"above average"
"brazil",44.67,33.24,11.43,"above average"
"deep-house",44.81,33.24,11.57,"above average"
"mandopop",45.03,33.24,11.79,"above average"
"piano",45.27,33.24,12.03,"above average"
"progressive-house",46.62,33.24,13.38,"above average"
"pop",47.58,33.24,14.34,"above average"
"sertanejo",47.87,33.24,14.63,"above average"
"emo",48.13,33.24,14.89,"above average"
"anime",48.77,33.24,15.53,"above average"
"indian",49.54,33.24,16.30,"above average"
"grunge",49.59,33.24,16.35,"above average"
"sad",52.38,33.24,19.14,"above average"
"chill",53.65,33.24,20.41,"above average"
"k-pop",56.90,33.24,23.66,"above average"
"pop-film",59.28,33.24,26.04,"above average"
